,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Exact Core Nodes,Exact Core Edges,Exact Core Out Edges,Outerplanar Core Nodes,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.02,1000,0,1336,5036,4742,1957,2.880414,7.625863,1,0.682678
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.03,1000,0,1336,5036,4742,1878,2.880414,7.625863,0.998503,0.709574
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.04,1000,0,1336,5036,4742,1825,2.880414,7.625863,0.997754,0.729212
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.05,1000,0,1336,5036,4742,1782,2.880414,7.625863,0.995509,0.743848
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.06,1000,0,1336,5036,4742,1744,2.880414,7.625863,0.993263,0.756988
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.07,1000,0,1336,5036,4742,1706,2.880414,7.625863,0.991766,0.771695
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.08,1000,0,1336,5036,4742,1667,2.880414,7.625863,0.988024,0.784314
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.09,1000,0,1336,5036,4742,1637,2.880414,7.625863,0.982784,0.790964
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.1,1000,0,1336,5036,4742,1602,2.880414,7.625863,0.974551,0.795844
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.15,1000,0,1336,5036,4742,1494,2.880414,7.625863,0.935629,0.791139
,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Exact Core Nodes,Exact Core Edges,Exact Core Out Edges,Outerplanar Core Nodes,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.01,5,0,3605,14161,7148,3824,1.867154,11.504884,0.99251,0.929109
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.02,5,0,3605,14161,7148,3673,1.867154,11.504884,0.982247,0.947552
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.03,5,0,3605,14161,7148,3579,1.867154,11.504884,0.967268,0.943197
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.04,5,0,3605,14161,7148,3486,1.867154,11.504884,0.947573,0.929524
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.05,5,0,3605,14161,7148,3405,1.867154,11.504884,0.928988,0.914777
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.06,5,0,3605,14161,7148,3333,1.867154,11.504884,0.910957,0.898741
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.07,5,0,3605,14161,7148,3270,1.867154,11.504884,0.894591,0.883562
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.08,5,0,3605,14161,7148,3185,1.867154,11.504884,0.875728,0.868979
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.09,5,0,3605,14161,7148,3104,1.867154,11.504884,0.853814,0.8477
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.1,5,0,3605,14161,7148,3023,1.867154,11.504884,0.83301,0.828414
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.15,5,0,3605,14161,7148,2601,1.867154,11.504884,0.720666,0.720067
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.01,10,0,3605,14161,7148,3888,2.030512,11.668242,0.996949,0.921775
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.02,10,0,3605,14161,7148,3744,2.030512,11.668242,0.991401,0.946755
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.03,10,0,3605,14161,7148,3664,2.030512,11.668242,0.983356,0.951933
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.04,10,0,3605,14161,7148,3601,2.030512,11.668242,0.974757,0.951788
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.05,10,0,3605,14161,7148,3542,2.030512,11.668242,0.961997,0.942647
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.06,10,0,3605,14161,7148,3478,2.030512,11.668242,0.947573,0.931552
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.07,10,0,3605,14161,7148,3413,2.030512,11.668242,0.931207,0.916963
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.08,10,0,3605,14161,7148,3359,2.030512,11.668242,0.917892,0.905335
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.09,10,0,3605,14161,7148,3299,2.030512,11.668242,0.90319,0.892544
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.1,10,0,3605,14161,7148,3230,2.030512,11.668242,0.886546,0.878263
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.15,10,0,3605,14161,7148,2925,2.030512,11.668242,0.80749,0.804366
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.01,100,0,3605,14161,7148,3953,2.624968,12.262698,0.999168,0.910516
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.02,100,0,3605,14161,7148,3801,2.624968,12.262698,0.995839,0.940776
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.03,100,0,3605,14161,7148,3730,2.624968,12.262698,0.991123,0.949761
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.04,100,0,3605,14161,7148,3669,2.624968,12.262698,0.986685,0.956955
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.05,100,0,3605,14161,7148,3623,2.624968,12.262698,0.979473,0.955099
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.06,100,0,3605,14161,7148,3565,2.624968,12.262698,0.9681,0.94837
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.07,100,0,3605,14161,7148,3521,2.624968,12.262698,0.957836,0.940103
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.08,100,0,3605,14161,7148,3470,2.624968,12.262698,0.946463,0.931477
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.09,100,0,3605,14161,7148,3419,2.624968,12.262698,0.933703,0.920175
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.1,100,0,3605,14161,7148,3372,2.624968,12.262698,0.922053,0.909937
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.15,100,0,3605,14161,7148,3118,2.624968,12.262698,0.85853,0.853087
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.01,500,0,3605,14161,7148,4076,3.642965,13.280695,0.999445,0.883521
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.02,500,0,3605,14161,7148,3876,3.642965,13.280695,0.996394,0.923631
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.03,500,0,3605,14161,7148,3797,3.642965,13.280695,0.99473,0.939727
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.04,500,0,3605,14161,7148,3731,3.642965,13.280695,0.990014,0.947438
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.05,500,0,3605,14161,7148,3672,3.642965,13.280695,0.984466,0.951985
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.06,500,0,3605,14161,7148,3624,3.642965,13.280695,0.976976,0.950094
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.07,500,0,3605,14161,7148,3572,3.642965,13.280695,0.967268,0.944986
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.08,500,0,3605,14161,7148,3533,3.642965,13.280695,0.958391,0.938094
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.09,500,0,3605,14161,7148,3500,3.642965,13.280695,0.950624,0.931756
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.1,500,0,3605,14161,7148,3460,3.642965,13.280695,0.94147,0.924544
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.15,500,0,3605,14161,7148,3251,3.642965,13.280695,0.889875,0.879386
