,Size,Edges,Density,Outerplanar Time,Outerplanar Struct Time,BFS Time,Snap BFS,DFS Time,Factor,Samples,Not Outerplanar Samplings,Not Maximal Samplings,Avg. Maximal Output Edges,Std. Maximal Output Edges,Avg. Output Edges,Std. Output Edges,Avg. Missing Edges per Graph,Std. Missing Edges per Graph,Avg. % of Maximal outerplanar graph,Std. % of Maximal outerplanar graph,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,200,2189,0.110000,0.122311,0.135440,0.104368,0.198599,0.105715,1.171921,100,0,56,275.730000,5.767998,275.000000,5.651495,0.730000,0.763498,99.736367,0.275529,20.710000,5.065819,76.210000,26.788093,30.930000,10.855576
,300,4485,0.100000,0.230283,0.206535,0.204295,0.397344,0.206120,1.127208,100,0,65,412.960000,6.211622,411.900000,6.176691,1.060000,1.052366,99.743707,0.254795,29.600000,6.903373,87.870000,31.590068,34.950000,12.834907
,500,9980,0.080000,0.479811,0.348220,0.431207,0.816107,0.434938,1.112716,100,0,79,671.680000,7.837852,670.080000,7.608714,1.600000,1.255292,99.762324,0.186133,46.560000,9.466923,96.670000,34.802199,34.420000,12.409006
,100,594,0.120000,0.043219,0.072019,0.035353,0.069842,0.035291,1.222499,100,0,25,136.540000,3.998535,136.170000,3.972265,0.370000,0.799684,99.731049,0.575732,15.880000,4.025876,48.000000,16.310126,19.940000,6.844330
,200,2388,0.120000,0.130616,0.138488,0.113216,0.211930,0.113740,1.153689,100,0,54,280.640000,5.507607,279.930000,5.474007,0.710000,0.769297,99.747515,0.272389,20.820000,4.540235,71.040000,25.865198,30.420000,11.272726
,300,4933,0.109989,0.247954,0.209421,0.223821,0.430683,0.225759,1.107823,100,0,66,419.010000,5.817936,418.010000,5.709278,1.000000,0.994937,99.761930,0.235666,27.630000,5.750108,83.180000,26.430920,35.020000,11.562723
,400,7182,0.090000,0.353027,0.275423,0.311632,0.578519,0.315461,1.132833,100,0,72,544.610000,7.472367,543.130000,7.285873,1.480000,1.344499,99.728961,0.245753,37.670000,7.018093,90.140000,27.502073,34.300000,10.062933
,300,5382,0.120000,0.270402,0.220778,0.246985,0.484758,0.249308,1.094811,100,0,67,425.900000,6.893856,424.890000,6.907608,1.010000,0.937383,99.762977,0.219115,26.960000,6.555004,76.090000,24.304506,33.440000,10.660339
,400,7980,0.100000,0.386770,0.275368,0.345922,0.650007,0.351510,1.118084,100,0,69,554.290000,7.928079,553.100000,7.808956,1.190000,1.125418,99.785771,0.202437,33.350000,6.796278,97.600000,32.732463,39.250000,13.147474
,400,8778,0.110000,0.423178,0.284505,0.388960,0.722799,0.387053,1.087973,100,0,67,562.400000,7.490061,561.160000,7.245647,1.240000,1.207050,99.780269,0.212830,32.460000,7.108709,89.930000,30.528429,37.470000,12.994525
,400,9576,0.120000,0.440328,0.276194,0.402716,0.758430,0.402512,1.093396,100,0,70,570.210000,8.279578,569.020000,8.298692,1.190000,1.152029,99.791417,0.202568,30.970000,6.189687,88.510000,31.323498,39.060000,14.356092
,500,11227,0.089996,0.527127,0.353000,0.480598,0.909847,0.494344,1.096815,100,0,83,681.850000,6.432831,680.300000,6.291729,1.550000,1.076611,99.772972,0.157128,42.900000,7.692972,98.350000,29.966775,36.760000,11.581176
,100,643,0.129899,0.045385,0.071550,0.036549,0.072725,0.036886,1.241758,100,0,32,138.350000,3.682816,137.990000,3.644548,0.360000,0.559942,99.741135,0.403058,15.350000,3.952687,45.850000,16.930861,19.870000,7.846578
,200,2587,0.130000,0.137354,0.137029,0.117065,0.221285,0.118953,1.173314,100,0,47,284.310000,5.130017,283.640000,5.217531,0.670000,0.921735,99.764233,0.324035,19.580000,4.973018,71.410000,28.293232,32.000000,12.834612
,500,12475,0.100000,0.569814,0.346200,0.521868,0.994982,0.525112,1.091874,100,0,83,693.080000,8.259283,691.200000,8.333939,1.880000,1.492608,99.728807,0.216003,40.150000,8.342873,98.110000,29.619777,39.770000,12.062007
,100,693,0.140000,0.047723,0.071099,0.038811,0.076747,0.039000,1.229626,100,0,31,139.860000,3.426044,139.450000,3.337497,0.410000,0.683056,99.709322,0.481272,13.920000,4.036901,50.870000,16.500784,22.670000,7.695013
,300,5830,0.129989,0.282498,0.212814,0.250294,0.499224,0.254446,1.128665,100,0,66,430.830000,5.759586,429.730000,5.706376,1.100000,1.096367,99.745123,0.253947,24.660000,5.481318,78.590000,24.200382,35.200000,10.687480
,200,2786,0.140000,0.144627,0.137476,0.126663,0.236317,0.127115,1.141825,100,0,59,288.480000,5.366337,287.660000,5.293831,0.820000,0.903193,99.716583,0.310186,19.280000,4.438309,69.720000,28.074605,32.650000,12.898497
,500,13722,0.109996,0.610462,0.342552,0.564273,1.101283,0.569032,1.081856,100,0,76,705.440000,8.627323,703.770000,8.468426,1.670000,1.449869,99.763718,0.204547,37.800000,7.032393,96.740000,30.804571,40.760000,13.477344
,300,6279,0.140000,0.296077,0.210344,0.269284,0.539730,0.270290,1.099497,100,0,63,438.030000,5.655881,437.000000,5.581354,1.030000,1.095952,99.765336,0.249282,23.410000,5.325932,81.710000,24.051836,39.270000,11.910317
,500,14970,0.120000,0.654306,0.347488,0.607244,1.205153,0.607343,1.077501,100,0,88,717.240000,8.678454,715.280000,8.562403,1.960000,1.549976,99.727116,0.214578,37.470000,7.588475,91.870000,26.749362,41.440000,12.121706
,400,10374,0.130000,0.468830,0.276845,0.418602,0.826368,0.423876,1.119990,100,0,75,578.180000,6.747061,576.740000,6.708385,1.440000,1.233538,99.751207,0.212693,30.010000,6.535830,92.280000,32.247490,41.770000,14.939511
,400,11172,0.140000,0.493239,0.270596,0.450599,0.895925,0.454944,1.094630,100,0,74,585.560000,7.765919,584.220000,7.750634,1.340000,1.139023,99.771337,0.194145,27.820000,6.034212,91.560000,31.575889,43.990000,16.129210
,500,16217,0.129996,0.708691,0.350447,0.644666,1.330221,0.650328,1.099315,100,0,80,726.050000,8.748304,724.400000,8.469792,1.650000,1.290016,99.773320,0.176459,35.520000,6.920151,97.870000,37.521887,45.500000,17.421976
,500,17465,0.140000,0.749099,0.344285,0.693179,1.456000,0.699147,1.080672,100,0,86,733.710000,8.715822,731.810000,8.560769,1.900000,1.337116,99.741417,0.181143,33.820000,6.806681,100.130000,31.790874,47.380000,14.843139
